task_type,task_number,task_name,example_type,example_number,input_height,input_width,output_height,output_width,input_filename,output_filename,input_grid,output_grid
evaluation,1,00576224.json,train,1,2,2,6,6,img/tasks/00576224_train_input_1.png,img/tasks/00576224_train_output_1.png,|86|64|,|868686|646464|686868|464646|868686|646464|
evaluation,1,00576224.json,train,2,2,2,6,6,img/tasks/00576224_train_input_2.png,img/tasks/00576224_train_output_2.png,|79|43|,|797979|434343|979797|343434|797979|434343|
evaluation,1,00576224.json,test,1,2,2,6,6,img/tasks/00576224_test_input_1.png,img/tasks/00576224_test_output_1.png,|32|78|,|323232|787878|232323|878787|323232|787878|
evaluation,2,009d5c81.json,train,1,14,14,14,14,img/tasks/009d5c81_train_input_1.png,img/tasks/009d5c81_train_output_1.png,|00000000000000|00000008808800|00000000888000|00000888800000|00008808008800|00000008888000|00000000808000|00000088808880|00000080000080|00100000000000|01110000000000|00100000000000|00000000000000|00000000000000|,|00000000000000|00000002202200|00000000222000|00000222200000|00002202002200|00000002222000|00000000202000|00000022202220|00000020000020|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
evaluation,2,009d5c81.json,train,2,14,14,14,14,img/tasks/009d5c81_train_input_2.png,img/tasks/009d5c81_train_output_2.png,|00000000000000|00000000000000|00008808088000|00008080808000|00008808088000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00010100000000|00001000000000|00011100000000|00000000000000|,|00000000000000|00000000000000|00003303033000|00003030303000|00003303033000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
evaluation,2,009d5c81.json,train,3,14,14,14,14,img/tasks/009d5c81_train_input_3.png,img/tasks/009d5c81_train_output_3.png,|00080008000000|08080808080000|08888888880000|08080808080000|08000800080000|00000000000000|00000000000000|00000000000000|00000000000000|00000000100000|00000001110000|00000000100000|00000000000000|00000000000000|,|00020002000000|02020202020000|02222222220000|02020202020000|02000200020000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
evaluation,2,009d5c81.json,train,4,14,14,14,14,img/tasks/009d5c81_train_input_4.png,img/tasks/009d5c81_train_output_4.png,|00000008800000|00000000888000|00000000008080|00000888808880|00008800888088|00000008800080|00000088000880|00000000088800|00000000000000|00000000000000|00001110000000|00001010000000|00000100000000|00000000000000|,|00000007700000|00000000777000|00000000007070|00000777707770|00007700777077|00000007700070|00000077000770|00000000077700|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
evaluation,2,009d5c81.json,train,5,14,14,14,14,img/tasks/009d5c81_train_input_5.png,img/tasks/009d5c81_train_output_5.png,|00000000000000|00000000800000|00000888088000|00000080880000|00000008008800|00000000880800|00000000008000|00000000000000|00101000000000|00010000000000|00111000000000|00000000000000|00000000000000|00000000000000|,|00000000000000|00000000300000|00000333033000|00000030330000|00000003003300|00000000330300|00000000003000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
evaluation,2,009d5c81.json,test,1,14,14,14,14,img/tasks/009d5c81_test_input_1.png,img/tasks/009d5c81_test_output_1.png,|00000000000000|00000888888888|00000800080808|00000808080008|00000888888888|00000000000000|00000000000000|00000000000000|00000011100000|00000010100000|00000001000000|00000000000000|00000000000000|00000000000000|,|00000000000000|00000777777777|00000700070707|00000707070007|00000777777777|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
evaluation,3,00dbd492.json,train,1,7,7,7,7,img/tasks/00dbd492_train_input_1.png,img/tasks/00dbd492_train_output_1.png,|2222200|2000200|2020200|2000200|2222200|0000000|0000000|,|2222200|2888200|2828200|2888200|2222200|0000000|0000000|
evaluation,3,00dbd492.json,train,2,9,9,9,9,img/tasks/00dbd492_train_input_2.png,img/tasks/00dbd492_train_output_2.png,|222222200|200000200|200000200|200200200|200000200|200000200|222222200|000000000|000000000|,|222222200|244444200|244444200|244244200|244444200|244444200|222222200|000000000|000000000|
evaluation,3,00dbd492.json,train,3,15,15,15,15,img/tasks/00dbd492_train_input_3.png,img/tasks/00dbd492_train_output_3.png,|000000222222222|000000200000002|000000200000002|000000200000002|000000200020002|000000200000002|000000200000002|000000200000002|000000222222222|000000000000000|022222000000000|020002000000000|020202000000000|020002000000000|022222000000000|,|000000222222222|000000233333332|000000233333332|000000233333332|000000233323332|000000233333332|000000233333332|000000233333332|000000222222222|000000000000000|022222000000000|028882000000000|028282000000000|028882000000000|022222000000000|
evaluation,3,00dbd492.json,train,4,13,13,13,13,img/tasks/00dbd492_train_input_4.png,img/tasks/00dbd492_train_output_4.png,|0222220000000|0200020000000|0202020000000|0200020000000|0222220000000|0000000000000|0000022222220|0000020000020|0000020000020|0000020020020|0000020000020|0000020000020|0000022222220|,|0222220000000|0288820000000|0282820000000|0288820000000|0222220000000|0000000000000|0000022222220|0000024444420|0000024444420|0000024424420|0000024444420|0000024444420|0000022222220|
evaluation,3,00dbd492.json,test,1,20,20,20,20,img/tasks/00dbd492_test_input_1.png,img/tasks/00dbd492_test_output_1.png,|00000000000222220000|02222222220200020000|02000000020202020000|02000000020200020000|02000000020222220000|02000200020000000000|02000000020000000000|02000000020002222200|02000000020002000200|02222222220002020200|00000000000002000200|00000000000002222200|00000222222200000000|00000200000200000000|00000200000200000000|00000200200200000000|00000200000200000000|00000200000200000000|00000222222200000000|00000000000000000000|,|00000000000222220000|02222222220288820000|02333333320282820000|02333333320288820000|02333333320222220000|02333233320000000000|02333333320000000000|02333333320002222200|02333333320002888200|02222222220002828200|00000000000002888200|00000000000002222200|00000222222200000000|00000244444200000000|00000244444200000000|00000244244200000000|00000244444200000000|00000244444200000000|00000222222200000000|00000000000000000000|
evaluation,4,03560426.json,train,1,10,10,10,10,img/tasks/03560426_train_input_1.png,img/tasks/03560426_train_output_1.png,|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000004|1100000004|1102203304|1102203304|,|1100000000|1100000000|1220000000|0233000000|0034000000|0004000000|0004000000|0004000000|0000000000|0000000000|
evaluation,4,03560426.json,train,2,10,10,10,10,img/tasks/03560426_train_input_2.png,img/tasks/03560426_train_output_2.png,|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|8880000000|8880000000|8880770222|8880770222|,|8880000000|8880000000|8880000000|8877000000|0072220000|0002220000|0000000000|0000000000|0000000000|0000000000|
evaluation,4,03560426.json,train,3,10,10,10,10,img/tasks/03560426_train_input_3.png,img/tasks/03560426_train_output_3.png,|0000000000|0000000000|0000000000|0000000000|0000000000|0000020000|0000020000|0000020333|4444020333|4444020333|,|4444000000|4442000000|0002000000|0002000000|0002000000|0003330000|0003330000|0003330000|0000000000|0000000000|
evaluation,4,03560426.json,test,1,10,10,10,10,img/tasks/03560426_test_input_1.png,img/tasks/03560426_test_output_1.png,|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|7000000000|7088060000|7088060330|7088060330|,|7000000000|7000000000|7000000000|8800000000|8800000000|8600000000|0600000000|0330000000|0330000000|0000000000|
evaluation,5,05a7bcf2.json,train,1,30,30,30,30,img/tasks/05a7bcf2_train_input_1.png,img/tasks/05a7bcf2_train_output_1.png,|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000040000004440000000000|000000000440000004440000000000|000440000000000000000000440000|000000000000000000000000440000|000000000000000000000004440000|000000000000000000000000000000|000000000000000000000000000000|888888888888888888888888888888|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000020000000022000000|200220020200220002020022200200|222222222222222222222222222222|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|,|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000030000003330000000000|000000000330000003330000000000|000330000440000004440000330000|000440000440000004440000330000|000440000440000004440003330000|000440000440000004440004440000|000440000440000004440004440000|888888888888888888888888888888|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880020008880028880000|200880020880220008880028880200|222882222882222228882228882222|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880008880000|000880000880000008880002880000|000220000280000002820002280000|000220000220000002220002220000|
evaluation,5,05a7bcf2.json,train,2,30,30,30,30,img/tasks/05a7bcf2_train_input_2.png,img/tasks/05a7bcf2_train_output_2.png,|000000000800000000002000000000|000000000800000000022000000000|000000000800000000222000000000|000000000800000000022000000000|004400000800000000002000000000|004400000800000000002000000000|000000000800000000222000000000|000000000800000000022000000000|000000000800000002222000000000|000000000800000000222000000000|000000000800000000002000000000|004000000800000000022000000000|004000000800000000222000000000|000000000800000000022000000000|000000000800000000002000000000|000000000800000000022000000000|000000000800000000002000000000|000000000800000000002000000000|000044000800000000022000000000|000044000800000000222000000000|000004000800000000222000000000|000000000800000000002000000000|000000000800000000002000000000|000000000800000000022000000000|000000000800000000002000000000|000440000800000000022000000000|000000000800000000002000000000|000000000800000000022000000000|000000000800000000022000000000|000000000800000000002000000000|,|000000000800000000002000000000|000000000800000000022000000000|000000000800000000222000000000|000000000800000000022000000000|003344444888888888888888888882|003344444888888888888888888882|000000000800000000222000000000|000000000800000000022000000000|000000000800000002222000000000|000000000800000000222000000000|000000000800000000002000000000|003444444888888888888888888822|003444444888888888888888888222|000000000800000000022000000000|000000000800000000002000000000|000000000800000000022000000000|000000000800000000002000000000|000000000800000000002000000000|000033444888888888888888888822|000033444888888888888888888222|000003444888888888888888888222|000000000800000000002000000000|000000000800000000002000000000|000000000800000000022000000000|000000000800000000002000000000|000334444888888888888888888822|000000000800000000002000000000|000000000800000000022000000000|000000000800000000022000000000|000000000800000000002000000000|
evaluation,5,05a7bcf2.json,train,3,30,30,30,30,img/tasks/05a7bcf2_train_input_3.png,img/tasks/05a7bcf2_train_output_3.png,|000000000000000000000000000000|000000000000000000000000000000|000000444440000000000000000000|000000000000000000000000000000|000000000000000044440000044000|000000000000000044440000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|888888888888888888888888888888|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000002200000200000000000000|000000022200000220000000000000|002202222220202220202202022000|222222222222222222222222222222|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|000000000000000000000000000000|,|000000000000000000000000000000|000000000000000000000000000000|000000333330000000000000000000|000000444440000000000000000000|000000444440000033330000033000|000000444440000033330000044000|000000444440000044440000044000|000000444440000044440000044000|000000444440000044440000044000|888888888888888888888888888888|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000888880000288880000088000|000000888880000288880000088000|002202888880202288882202088000|222222888882222288882222288222|000000888880000088880000088000|000000888880000088880000088000|000000888880000088880000088000|000000882280000088880000088000|000000822280000028880000088000|000000222220000028280000022000|000000222220000022220000022000|
evaluation,5,05a7bcf2.json,test,1,30,30,30,30,img/tasks/05a7bcf2_test_input_1.png,img/tasks/05a7bcf2_test_output_1.png,|000000000020000000080000000000|000000000022200000080000044000|000000000022000000080000044000|000000000022000000080000044400|000000000022200000080000000000|000000000022000000080000000000|000000000022222000080000000000|000000000022220000080000000000|000000000020000000080000000000|000000000020000000080000000000|000000000022200000080000440000|000000000022000000080000440000|000000000020000000080000440000|000000000022200000080000440000|000000000022220000080000400000|000000000022000000080000400000|000000000020000000080000000000|000000000022000000080000000000|000000000020000000080000000000|000000000022000000080000000000|000000000022200000080000400000|000000000022222000080000400000|000000000022000000080000400000|000000000022200000080000400000|000000000022220000080000000000|000000000022000000080000000000|000000000022000000080000000004|000000000022200000080000040000|000000000022200000080000000000|000000000020000000080000000000|,|000000000020000000080000000000|222888888888888888884444433000|228888888888888888884444433000|228888888888888888884444433300|000000000022200000080000000000|000000000022000000080000000000|000000000022222000080000000000|000000000022220000080000000000|000000000020000000080000000000|000000000020000000080000000000|222888888888888888884444330000|228888888888888888884444330000|288888888888888888884444330000|222888888888888888884444330000|222288888888888888884444300000|228888888888888888884444300000|000000000020000000080000000000|000000000022000000080000000000|000000000020000000080000000000|000000000022000000080000000000|222888888888888888884444300000|222228888888888888884444300000|228888888888888888884444300000|222888888888888888884444300000|000000000022220000080000000000|000000000022000000080000000000|228888888888888888884444444443|222888888888888888884444430000|000000000022200000080000000000|000000000020000000080000000000|
evaluation,6,0607ce86.json,train,1,23,22,23,22,img/tasks/0607ce86_train_input_1.png,img/tasks/0607ce86_train_output_1.png,|0000000000300003000000|0066666600666636000000|0088338800833388000000|0088338800883388003000|0388338800883383000300|0388338800883388300000|0000000000300000000000|0300030000000000000000|0066666600663666000000|0088338800383383030003|0088333800383388000000|0088338800833338000000|3388338800883388000000|0000000000000300003000|0000000003003000000000|0066366603666366000000|0088338800883388000030|0083338800883388000000|0088338800883388000000|0088338800883388000000|0000003300000000000000|0000000003003000300000|0000000300000000000000|,|0000000000000000000000|0066666600666666000000|0088338800883388000000|0088338800883388000000|0088338800883388000000|0088338800883388000000|0000000000000000000000|0000000000000000000000|0066666600666666000000|0088338800883388000000|0088338800883388000000|0088338800883388000000|0088338800883388000000|0000000000000000000000|0000000000000000000000|0066666600666666000000|0088338800883388000000|0088338800883388000000|0088338800883388000000|0088338800883388000000|0000000000000000000000|0000000000000000000000|0000000000000000000000|
evaluation,6,0607ce86.json,train,2,21,22,21,22,img/tasks/0607ce86_train_input_2.png,img/tasks/0607ce86_train_output_2.png,|0300033000030000000000|0112330112331112330300|0113330112330112333030|0112330112330111330003|0133310112330112330000|0888880888880888880000|0000000000000000000000|0313330312330112330030|0112330112330112330000|0112330132130112330000|1112330112333132330000|0818830888880188880000|0001000000000000000330|0112330112330112330030|0113330112330112330000|0112330111330112310000|1112330112310112330000|3888331888880888880010|0100000000000000000000|0330303011030000000001|0030010000030000000000|,|0000000000000000000000|0112330112330112330000|0112330112330112330000|0112330112330112330000|0112330112330112330000|0888880888880888880000|0000000000000000000000|0112330112330112330000|0112330112330112330000|0112330112330112330000|0112330112330112330000|0888880888880888880000|0000000000000000000000|0112330112330112330000|0112330112330112330000|0112330112330112330000|0112330112330112330000|0888880888880888880000|0000000000000000000000|0000000000000000000000|0000000000000000000000|
evaluation,6,0607ce86.json,train,3,22,22,22,22,img/tasks/0607ce86_train_input_3.png,img/tasks/0607ce86_train_output_3.png,|0000000000000000000003|0222220222200222200003|0322300322303322300300|0233300333300333300000|0231300221200311300000|0000000000020000002000|0002000000000000000300|0222230222200222220000|0322300322303322320000|0333300333300333300000|0331300311300311300000|0000000000000000000000|0000000000000300000000|0222200323200232200000|0322300323300323300000|3333300333300323300200|0311303311300311300000|0200300000000000000000|0000003020000000000000|0200002003000000000000|0000000000220000000200|0003002020000000000000|,|0000000000000000000000|0222200222200222200000|0322300322300322300000|0333300333300333300000|0311300311300311300000|0000000000000000000000|0000000000000000000000|0222200222200222200000|0322300322300322300000|0333300333300333300000|0311300311300311300000|0000000000000000000000|0000000000000000000000|0222200222200222200000|0322300322300322300000|0333300333300333300000|0311300311300311300000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000|
evaluation,6,0607ce86.json,test,1,24,22,24,22,img/tasks/0607ce86_test_input_1.png,img/tasks/0607ce86_test_output_1.png,|0033000000000000300000|0228320228220328220003|0338330338330338330300|0338330338330338330000|3883380888880883880000|0888830888880888880000|0000000000000000000300|0000000000030000330000|0238220223230228220003|0338330338330338330300|0338330338330338330000|0888883888830888380000|0888380838880888880000|0000300000000033030000|0000003000000000000303|0228220228220228220000|0338330338330338330030|0333330338330338330000|0388880883380883880300|0888880883880388880000|0003000000000000000030|0000300000303003000030|3000000000000300000000|0000000000000000030000|,|0000000000000000000000|0228220228220228220000|0338330338330338330000|0338330338330338330000|0888880888880888880000|0888880888880888880000|0000000000000000000000|0000000000000000000000|0228220228220228220000|0338330338330338330000|0338330338330338330000|0888880888880888880000|0888880888880888880000|0000000000000000000000|0000000000000000000000|0228220228220228220000|0338330338330338330000|0338330338330338330000|0888880888880888880000|0888880888880888880000|0000000000000000000000|0000000000000000000000|0000000000000000000000|0000000000000000000000|
evaluation,7,0692e18c.json,train,1,3,3,9,9,img/tasks/0692e18c_train_input_1.png,img/tasks/0692e18c_train_output_1.png,|070|777|070|,|000707000|000000000|000707000|707707707|000000000|707707707|000707000|000000000|000707000|
evaluation,7,0692e18c.json,train,2,3,3,9,9,img/tasks/0692e18c_train_input_2.png,img/tasks/0692e18c_train_output_2.png,|006|060|600|,|000000660|000000606|000000066|000660000|000606000|000066000|660000000|606000000|066000000|
evaluation,7,0692e18c.json,train,3,3,3,9,9,img/tasks/0692e18c_train_input_3.png,img/tasks/0692e18c_train_output_3.png,|440|004|004|,|004004000|440440000|440440000|000000004|000000440|000000440|000000004|000000440|000000440|
