task_type,task_number,task_name,example_type,example_number,input_height,input_width,output_height,output_width,input_filename,output_filename,input_grid,output_grid
training,1,007bbfb7.json,train,1,3,3,9,9,img/tasks/007bbfb7_train_input_1.png,img/tasks/007bbfb7_train_output_1.png,|077|777|077|,|000077077|000777777|000077077|077077077|777777777|077077077|000077077|000777777|000077077|
training,1,007bbfb7.json,train,2,3,3,9,9,img/tasks/007bbfb7_train_input_2.png,img/tasks/007bbfb7_train_output_2.png,|404|000|040|,|404000404|000000000|040000040|000000000|000000000|000000000|000404000|000000000|000040000|
training,1,007bbfb7.json,train,3,3,3,9,9,img/tasks/007bbfb7_train_input_3.png,img/tasks/007bbfb7_train_output_3.png,|000|002|202|,|000000000|000000000|000000000|000000000|000000002|000000202|000000000|002000002|202000202|
training,1,007bbfb7.json,train,4,3,3,9,9,img/tasks/007bbfb7_train_input_4.png,img/tasks/007bbfb7_train_output_4.png,|660|600|066|,|660660000|600600000|066066000|660000000|600000000|066000000|000660660|000600600|000066066|
training,1,007bbfb7.json,train,5,3,3,9,9,img/tasks/007bbfb7_train_input_5.png,img/tasks/007bbfb7_train_output_5.png,|222|000|022|,|222222222|000000000|022022022|000000000|000000000|000000000|000222222|000000000|000022022|
training,1,007bbfb7.json,test,1,3,3,9,9,img/tasks/007bbfb7_test_input_1.png,img/tasks/007bbfb7_test_output_1.png,|707|707|770|,|707000707|707000707|770000770|707000707|707000707|770000770|707707000|707707000|770770000|
training,2,00d62c1b.json,train,1,6,6,6,6,img/tasks/00d62c1b_train_input_1.png,img/tasks/00d62c1b_train_output_1.png,|000000|003000|030300|003030|000300|000000|,|000000|003000|034300|003430|000300|000000|
training,2,00d62c1b.json,train,2,10,10,10,10,img/tasks/00d62c1b_train_input_2.png,img/tasks/00d62c1b_train_output_2.png,|0000000000|0030300000|0003030000|0030003000|0000030300|0003033000|0033300000|0003000000|0000000000|0000000000|,|0000000000|0030300000|0003030000|0030003000|0000034300|0003033000|0033300000|0003000000|0000000000|0000000000|
training,2,00d62c1b.json,train,3,10,10,10,10,img/tasks/00d62c1b_train_input_3.png,img/tasks/00d62c1b_train_output_3.png,|0000030000|0000300000|0330330300|3003003030|0003003300|0003003000|0003003000|0000330300|0000000030|0000000000|,|0000030000|0000300000|0330330300|3003443430|0003443300|0003443000|0003443000|0000330300|0000000030|0000000000|
training,2,00d62c1b.json,train,4,10,10,10,10,img/tasks/00d62c1b_train_input_4.png,img/tasks/00d62c1b_train_output_4.png,|0000000000|0033330000|0030030000|0030030300|0033333330|0003000030|0003000330|0003300303|0003030030|0000300000|,|0000000000|0033330000|0034430000|0034430300|0033333330|0003000030|0003000330|0003300343|0003430030|0000300000|
training,2,00d62c1b.json,train,5,20,20,20,20,img/tasks/00d62c1b_train_input_5.png,img/tasks/00d62c1b_train_output_5.png,|00000000000000000000|00000000300000000000|00003333033000000000|00000000303000000030|00000000333333330000|00000000300000030000|00003000300000030000|00000000300000030000|00000000300000030000|00300000333333330000|00000000300000000000|00000000333000030300|00000033003003000000|00000003003300300300|00000003333030033300|00000000003000030300|00000000000030033300|00000000000003000000|00000000000000000000|00000000000000000000|,|00000000000000000000|00000000300000000000|00003333433000000000|00000000343000000030|00000000333333330000|00000000344444430000|00003000344444430000|00000000344444430000|00000000344444430000|00300000333333330000|00000000300000000000|00000000333000030300|00000033443003000000|00000003443300300300|00000003333030033300|00000000003000034300|00000000000030033300|00000000000003000000|00000000000000000000|00000000000000000000|
training,2,00d62c1b.json,test,1,20,20,20,20,img/tasks/00d62c1b_test_input_1.png,img/tasks/00d62c1b_test_output_1.png,|00000000000000000000|00300000000000000000|03033000000000000000|00303333303300000000|00003000030030000000|00003333303330000000|00000000000003333300|00000000000003000300|00000000000003000300|00000000033333000300|00000000030003000300|00000000333333000300|00000033030003333300|00300000330000000000|03030000000000000000|00303033333300000000|00000003000300000000|00000003000300000000|00000003333300000000|00000000000000000000|,|00000000000000000000|00300000000000000000|03433000000000000000|00303333303300000000|00003444434430000000|00003333303330000000|00000000000003333300|00000000000003444300|00000000000003444300|00000000033333444300|00000000034443444300|00000000333333444300|00000033430003333300|00300000330000000000|03430000000000000000|00303033333300000000|00000003444300000000|00000003444300000000|00000003333300000000|00000000000000000000|
training,3,017c7c7b.json,train,1,6,3,9,3,img/tasks/017c7c7b_train_input_1.png,img/tasks/017c7c7b_train_output_1.png,|010|110|010|011|010|110|,|020|220|020|022|020|220|020|022|020|
training,3,017c7c7b.json,train,2,6,3,9,3,img/tasks/017c7c7b_train_input_2.png,img/tasks/017c7c7b_train_output_2.png,|010|101|010|101|010|101|,|020|202|020|202|020|202|020|202|020|
training,3,017c7c7b.json,train,3,6,3,9,3,img/tasks/017c7c7b_train_input_3.png,img/tasks/017c7c7b_train_output_3.png,|010|110|010|010|110|010|,|020|220|020|020|220|020|020|220|020|
training,3,017c7c7b.json,test,1,6,3,9,3,img/tasks/017c7c7b_test_input_1.png,img/tasks/017c7c7b_test_output_1.png,|111|010|010|111|010|010|,|222|020|020|222|020|020|222|020|020|
training,4,025d127b.json,train,1,14,9,14,9,img/tasks/025d127b_train_input_1.png,img/tasks/025d127b_train_output_1.png,|000000000|066600000|060060000|006006000|000600600|000066600|000000000|002220000|002002000|000222000|000000000|000000000|000000000|000000000|,|000000000|006660000|006006000|000600600|000060600|000066600|000000000|000222000|000202000|000222000|000000000|000000000|000000000|000000000|
training,4,025d127b.json,train,2,8,9,8,9,img/tasks/025d127b_train_input_2.png,img/tasks/025d127b_train_output_2.png,|000000000|088888000|080000800|008000080|000800008|000088888|000000000|000000000|,|000000000|008888800|008000080|000800008|000080008|000088888|000000000|000000000|
training,4,025d127b.json,test,1,10,10,10,10,img/tasks/025d127b_test_input_1.png,img/tasks/025d127b_test_output_1.png,|0000000000|0444444000|0400000400|0040000040|0004000004|0000444444|0000000000|0000000000|0000000000|0000000000|,|0000000000|0044444400|0040000040|0004000004|0000400004|0000444444|0000000000|0000000000|0000000000|0000000000|
training,5,045e512c.json,train,1,21,21,21,21,img/tasks/045e512c_train_input_1.png,img/tasks/045e512c_train_output_1.png,|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000888030000000000|000000808030000000000|000000888030000000000|000000000000000000000|000000222000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|,|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000888033303330333|000000808030303030303|000000888033303330333|000000000000000000000|000000222000000000000|000000202000000000000|000000222000000000000|000000000000000000000|000000222000000000000|000000202000000000000|000000222000000000000|000000000000000000000|000000222000000000000|000000202000000000000|000000222000000000000|
training,5,045e512c.json,train,2,21,21,21,21,img/tasks/045e512c_train_input_2.png,img/tasks/045e512c_train_output_2.png,|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000400000000|000000000000000000000|000000000000100000000|000000000201110400000|000000000000100000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|,|000000000004440000000|000000000000400000000|000000000000000000000|000000000000400000000|000000000004440000000|000000000000400000000|000000000000000000000|200020002000100040004|220222022201110444044|200020002000100040004|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|
training,5,045e512c.json,train,3,21,21,21,21,img/tasks/045e512c_train_input_3.png,img/tasks/045e512c_train_output_3.png,|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000060000000000|000000000006000000000|000000000000000000000|000000550000000000000|000000505000000000000|000000055000000000000|000000000000000000000|000000000011000000000|000000000010000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|,|000000000000006060000|000000000000000660000|000000000000000000000|000000000066000000000|000000000060600000000|000000000006600000000|000000000000000000000|000000550000000000000|000000505000000000000|000000055000000000000|000000000000000000000|000000000011000000000|000000000010100000000|000000000001100000000|000000000000000000000|000000000000001100000|000000000000001010000|000000000000000110000|000000000000000000000|000000000000000000110|000000000000000000101|
